N,hw,q,sigma,CHHS19_mitm_sec,CHHS19_mitm_time,CHHS19_mitm_umem,bdd_hybrid_sec,bdd_hybrid_time,bdd_hybrid_umem,coded_bkw_sec,coded_bkw_time,coded_bkw_umem,dual_Alb17_sec,dual_Alb17_time,dual_Alb17_umem,dual_hybrid_sec,dual_hybrid_time,dual_hybrid_umem,dual_sec,dual_time,dual_umem,mitm_sec,mitm_time,mitm_umem,primal_bdd_sec,primal_bdd_time,primal_bdd_umem,primal_hybrid_sec,primal_hybrid_time,primal_hybrid_umem,primal_usvp_sec,primal_usvp_time,primal_usvp_umem,machine,Main Repo,SparseLWEestimator,Lattice Estimator
17,128,2341,3.2,157.19363518966813,1m34.0s,510.7MiB,,9m55.6s,414.0MiB,,0.7s,288.2MiB,170.72575147962033,1m34.3s,408.2MiB,198.5895059800711,5.2s,346.6MiB,198.8757183051246,0.0s,284.5MiB,810.8672787397097,0.3s,334.3MiB,,21.9s,405.7MiB,159.50178277860795,1h1m50.5s,14.0GiB,197.87283211639675,0.5s,341.2MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,32,117,3.2,164.58387564011113,22.0s,450.8MiB,,20.4s,374.2MiB,367.6751576413534,14m56.9s,1.5GiB,196.31099657739765,15.8s,346.7MiB,inf,0.4s,336.1MiB,inf,0.0s,284.5MiB,226.88264304936183,0.4s,334.4MiB,,20.3s,374.2MiB,561.9066276676648,10m49.5s,2.4GiB,inf,0.5s,341.9MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,1555,3.2,134.05529141234257,53.8s,560.2MiB,143.4175105891887,3m43.8s,380.4MiB,,0.1s,286.7MiB,139.86331131917808,47.0s,424.7MiB,145.00036057072083,4.2s,345.1MiB,145.2854982718001,0.0s,284.5MiB,inf,0.4s,333.3MiB,174.34819319828165,35.6s,374.9MiB,133.83483574080546,39m19.7s,8.9GiB,144.3028631446498,0.5s,341.9MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,192,777,3.2,132.12311171552398,45.6s,566.3MiB,138.1225816619431,2m19.0s,362.6MiB,inf,7m39.8s,1.5GiB,139.47978648942836,33.8s,403.7MiB,143.76537851326074,4.3s,345.9MiB,144.3369194247888,0.1s,284.5MiB,961.4491486453754,0.4s,333.6MiB,143.1664866678843,18.5s,358.6MiB,132.9719599915877,22m31.2s,5.1GiB,143.27973569481395,0.5s,340.5MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,192,767,3.19,135.48093442683836,41.8s,515.3MiB,142.6163897776085,2m15.2s,363.2MiB,inf,8m11.8s,1.6GiB,139.94367149632131,44.2s,411.2MiB,145.7740349323629,3.9s,343.7MiB,146.34641120253892,0.1s,284.5MiB,961.4491486453754,0.6s,335.2MiB,145.22765803868813,24.7s,358.5MiB,134.2956857786111,19m19.8s,4.4GiB,145.2292759307948,0.6s,341.2MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,1553,3.19,134.126442970641,56.6s,500.3MiB,143.76200897333965,4m36.1s,380.6MiB,,0.2s,286.7MiB,140.04522593553207,52.1s,415.0MiB,145.2868120386242,6.9s,374.9MiB,145.57221746816296,0.0s,284.5MiB,inf,0.4s,332.9MiB,144.56411450369248,42.1s,375.0MiB,133.9913102200292,39m12.3s,8.8GiB,144.5669451593829,0.9s,342.0MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,192,61,3.2,734.1645438511217,39.8s,458.1MiB,,31.1s,365.3MiB,916.7690579712415,21m57.5s,631.0MiB,856.1034452658142,52.4s,455.6MiB,inf,0.6s,336.1MiB,inf,0.0s,284.5MiB,inf,0.0s,336.1MiB,,36.5s,364.6MiB,inf,10m44.6s,2.2GiB,inf,0.1s,341.2MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
15,128,300,3.2,232.5166094371962,20.6s,432.6MiB,266.27161039835045,2m39.7s,374.7MiB,624.3748834426261,12m12.1s,4.9GiB,261.6666549884586,50.4s,432.9MiB,414.3459683189516,24.5s,366.9MiB,420.2521714505258,0.1s,344.4MiB,682.8641861446542,0.0s,375.6MiB,417.7560853002799,28.1s,385.5MiB,235.18949583640966,14m7.4s,3.2GiB,418.0165459268222,0.2s,340.5MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
16,128,300,3.2,321.9637088590916,1m2.1s,466.6MiB,,4m37.9s,379.2MiB,625.5518042018955,42m26.9s,6.1GiB,373.7946400935339,1m5.8s,403.7MiB,inf,0.7s,336.2MiB,inf,0.0s,284.5MiB,746.8672787397097,0.6s,334.5MiB,,20.3s,374.5MiB,342.56102523913063,19m35.3s,4.2GiB,949.0214902465926,0.9s,342.0MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
17,192,3104,3.19,135.27840748269,1m24.3s,539.4MiB,,2m39.8s,409.4MiB,,0.9s,286.7MiB,141.7860224518162,1m14.9s,418.0MiB,146.52172804949,7.5s,345.2MiB,146.4532616097101,0.1s,284.5MiB,inf,0.4s,335.2MiB,,25.1s,406.5MiB,135.61074473127405,1h23m53.2s,19.1GiB,145.8412333678247,0.9s,342.0MiB, Intel(R) Xeon(R) Platinum 8488C,f84894a7657fe747ca65ecea5d84d1ca0a1cd470,25aa7f508863d1a8ca7514836be227a898ccf004 SparseLWEestimator (heads/main), fa492edf9ea822143e7520b5c4967eb903f0781c estimator (heads/main)
